rep_population,regime,type,sex,regimetype,fly,size_mm
RP2,aFLX,2X,f,aFLX2X,24,1.031746032
RP2,aFLX,2X,f,aFLX2X,25,1.031746032
RP2,aFLX,2X,f,aFLX2X,26,1.031746032
RP2,aFLX,2X,f,aFLX2X,27,1.031746032
RP2,aFLX,2X,f,aFLX2X,28,1.031746032
RP2,aFLX,2X,f,aFLX2X,29,1.031746032
RP2,aFLX,2X,f,aFLX2X,30,1.031746032
RP2,aFLX,2X,f,aFLX2X,31,1.031746032
RP2,aFLX,2X,f,aFLX2X,32,1.031746032
RP2,aFLX,2X,f,aFLX2X,33,1.031746032
RP2,aFLX,2X,f,aFLX2X,34,1.031746032
RP2,aFLX,1X,f,bFLX1X,1,1.031746032
RP2,aFLX,1X,f,bFLX1X,2,1.031746032
RP2,aFLX,1X,f,bFLX1X,3,1.031746032
RP2,aFLX,1X,f,bFLX1X,4,1.031746032
RP2,aFLX,1X,f,bFLX1X,5,1.031746032
RP2,aFLX,1X,f,bFLX1X,6,1.031746032
RP2,aFLX,1X,f,bFLX1X,7,1.031746032
RP2,aFLX,1X,f,bFLX1X,8,1.031746032
RP2,aFLX,1X,f,bFLX1X,9,1.031746032
RP2,aFLX,1X,f,bFLX1X,10,1.031746032
RP2,aFLX,1X,f,bFLX1X,11,1.031746032
RP2,aFLX,1X,f,bFLX1X,12,1.031746032
RP2,aFLX,1X,f,bFLX1X,13,1.031746032
RP2,aFLX,1X,f,bFLX1X,14,1.031746032
RP2,aFLX,1X,f,bFLX1X,15,1.031746032
RP2,aFLX,1X,f,bFLX1X,16,1.031746032
RP2,aFLX,1X,f,bFLX1X,17,1.031746032
RP2,aFLX,1X,f,bFLX1X,18,1.031746032
RP2,aFLX,1X,f,bFLX1X,19,1.031746032
RP2,aFLX,1X,f,bFLX1X,20,1.031746032
RP2,aFLX,1X,f,bFLX1X,21,1.063492063
RP2,aFLX,1X,f,bFLX1X,22,1.047619048
RP2,aFLX,1X,f,bFLX1X,23,1.031746032
RP2,aFLX,1X,f,bFLX1X,24,1.031746032
RP2,aFLX,1X,f,bFLX1X,25,1.031746032
RP2,aFLX,1X,f,bFLX1X,26,1.031746032
RP2,aFLX,1X,f,bFLX1X,27,1.031746032
RP2,aFLX,1X,f,bFLX1X,28,1.031746032
RP2,aFLX,1X,f,bFLX1X,29,1.031746032
RP2,aFLX,1X,f,bFLX1X,30,1.031746032
RP2,aFLX,1X,f,bFLX1X,31,1.031746032
RP2,aFLX,1X,f,bFLX1X,32,1.031746032
RP2,aFLX,1X,f,bFLX1X,33,1.031746032
RP2,aFLX,1X,m,fFLXm,1,0.873015873
RP2,aFLX,1X,m,fFLXm,2,0.873015873
RP2,aFLX,1X,m,fFLXm,3,0.888888889
RP2,aFLX,1X,m,fFLXm,4,0.873015873
RP2,aFLX,1X,m,fFLXm,5,0.873015873
RP2,aFLX,1X,m,fFLXm,6,0.888888889
RP2,aFLX,1X,m,fFLXm,7,0.857142857
RP2,aFLX,1X,m,fFLXm,8,0.873015873
RP2,aFLX,1X,m,fFLXm,9,0.873015873
RP2,aFLX,1X,m,fFLXm,10,0.873015873
RP2,aFLX,1X,m,fFLXm,11,0.873015873
RP2,aFLX,1X,m,fFLXm,12,0.873015873
RP2,aFLX,1X,m,fFLXm,13,0.873015873
RP2,aFLX,1X,m,fFLXm,14,0.873015873
RP2,aFLX,1X,m,fFLXm,15,0.888888889
RP2,aFLX,1X,m,fFLXm,16,0.873015873
RP2,aFLX,1X,m,fFLXm,17,0.873015873
RP2,aFLX,1X,m,fFLXm,18,0.888888889
RP2,aFLX,1X,m,fFLXm,19,0.857142857
RP2,aFLX,1X,m,fFLXm,20,0.873015873
RP2,aFLX,1X,m,fFLXm,21,0.873015873
RP2,aFLX,1X,m,fFLXm,22,0.873015873
