rep_population,regime,type,regimetype,sex,fly,size_mm
RP2,cCwt,0X,hCwtm,m,13,0.80952381
RP2,cCwt,0X,hCwtm,m,14,0.793650794
RP2,cCwt,0X,hCwtm,m,15,0.761904762
RP2,cCwt,0X,hCwtm,m,16,0.793650794
RP2,cCwt,0X,hCwtm,m,17,0.80952381
RP2,cCwt,0X,hCwtm,m,18,0.793650794
RP2,cCwt,0X,hCwtm,m,19,0.793650794
RP2,cCwt,0X,hCwtm,m,20,0.793650794
RP3,aFLX,2X,aFLX2X,f,1,0.936507937
RP3,aFLX,2X,aFLX2X,f,2,0.952380952
RP3,aFLX,2X,aFLX2X,f,3,0.952380952
RP3,aFLX,2X,aFLX2X,f,4,0.952380952
RP3,aFLX,2X,aFLX2X,f,5,0.952380952
RP3,aFLX,2X,aFLX2X,f,6,0.968253968
RP3,aFLX,2X,aFLX2X,f,7,1
RP3,aFLX,2X,aFLX2X,f,8,0.936507937
RP3,aFLX,2X,aFLX2X,f,9,0.984126984
RP3,aFLX,2X,aFLX2X,f,10,0.952380952
RP3,aFLX,2X,aFLX2X,f,11,0.952380952
RP3,aFLX,2X,aFLX2X,f,12,0.952380952
RP3,aFLX,2X,aFLX2X,f,13,0.936507937
RP3,aFLX,2X,aFLX2X,f,14,0.920634921
RP3,aFLX,2X,aFLX2X,f,15,0.920634921
RP3,aFLX,2X,aFLX2X,f,16,0.952380952
RP3,aFLX,2X,aFLX2X,f,17,0.936507937
RP3,aFLX,2X,aFLX2X,f,18,0.952380952
RP3,aFLX,2X,aFLX2X,f,19,0.968253968
RP3,aFLX,2X,aFLX2X,f,20,0.920634921
RP3,aFLX,1X,bFLX1X,f,1,0.968253968
RP3,aFLX,1X,bFLX1X,f,2,0.968253968
RP3,aFLX,1X,bFLX1X,f,3,0.952380952
RP3,aFLX,1X,bFLX1X,f,4,0.952380952
RP3,aFLX,1X,bFLX1X,f,5,0.952380952
RP3,aFLX,1X,bFLX1X,f,6,0.904761905
RP3,aFLX,1X,bFLX1X,f,7,0.952380952
RP3,aFLX,1X,bFLX1X,f,8,0.952380952
RP3,aFLX,1X,bFLX1X,f,9,0.952380952
RP3,aFLX,1X,bFLX1X,f,10,0.952380952
RP3,aFLX,1X,bFLX1X,f,11,0.920634921
RP3,aFLX,1X,bFLX1X,f,12,0.952380952
RP3,aFLX,1X,bFLX1X,f,13,0.936507937
RP3,aFLX,1X,bFLX1X,f,14,0.968253968
RP3,aFLX,1X,bFLX1X,f,15,0.888888889
RP3,aFLX,1X,bFLX1X,f,16,0.904761905
RP3,aFLX,1X,bFLX1X,f,17,0.952380952
RP3,aFLX,1X,bFLX1X,f,18,0.873015873
RP3,aFLX,1X,bFLX1X,f,19,0.952380952
RP3,aFLX,1X,bFLX1X,f,20,0.873015873
RP3,aFLX,1X,fFLXm,m,1,0.80952381
RP3,aFLX,1X,fFLXm,m,2,0.841269841
RP3,aFLX,1X,fFLXm,m,3,0.80952381
RP3,aFLX,1X,fFLXm,m,4,0.873015873
RP3,aFLX,1X,fFLXm,m,5,0.825396825
RP3,aFLX,1X,fFLXm,m,6,0.857142857
RP3,aFLX,1X,fFLXm,m,7,0.825396825
RP3,aFLX,1X,fFLXm,m,8,0.857142857
RP3,aFLX,1X,fFLXm,m,9,0.841269841
RP3,aFLX,1X,fFLXm,m,10,0.841269841
RP3,aFLX,1X,fFLXm,m,11,0.761904762
RP3,aFLX,1X,fFLXm,m,12,0.825396825
RP3,aFLX,1X,fFLXm,m,13,0.873015873
RP3,aFLX,1X,fFLXm,m,14,0.857142857
RP3,aFLX,1X,fFLXm,m,15,0.873015873
RP3,aFLX,1X,fFLXm,m,16,0.825396825
RP3,aFLX,1X,fFLXm,m,17,0.825396825
RP3,aFLX,1X,fFLXm,m,18,0.793650794
RP3,aFLX,1X,fFLXm,m,19,0.777777778
RP3,aFLX,1X,fFLXm,m,20,0.777777778
RP3,bCFM,2X,cCFM2X,f,1,0.936507937
RP3,bCFM,2X,cCFM2X,f,2,0.920634921
RP3,bCFM,2X,cCFM2X,f,3,0.904761905
RP3,bCFM,2X,cCFM2X,f,4,0.920634921
RP3,bCFM,2X,cCFM2X,f,5,0.952380952
RP3,bCFM,2X,cCFM2X,f,6,0.920634921
RP3,bCFM,2X,cCFM2X,f,7,0.952380952
